neighborhood,stationID,stationName,latitude,longitude,eventCount,types,time,value
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 2:00,17
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 2:00,13
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 3:00,2
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 3:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 4:00,2
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 4:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 5:00,3
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 5:00,28
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 6:00,5
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 6:00,26
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 7:00,5
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 7:00,26
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 8:00,7
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 8:00,24
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 9:00,25
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 9:00,6
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 10:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 10:00,2
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 11:00,31
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 11:00,0
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 0:00,18
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 0:00,12
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 13:00,30
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 13:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 14:00,27
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 14:00,4
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 15:00,28
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 15:00,3
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 16:00,26
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 16:00,5
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 18:00,30
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 18:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 19:00,27
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 19:00,4
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 20:00,23
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 20:00,8
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 21:00,21
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 21:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 22:00,22
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 22:00,9
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 23:00,19
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 23:00,12
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/3/18 12:00,30
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/3/18 12:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 1:00,16
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 1:00,15
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 2:00,16
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 2:00,15
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 3:00,16
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 3:00,15
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 4:00,16
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 4:00,15
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 5:00,16
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 5:00,15
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 6:00,17
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 6:00,14
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 7:00,22
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 7:00,9
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 8:00,22
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 8:00,9
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 9:00,28
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 9:00,3
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 10:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 10:00,2
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 11:00,30
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 11:00,0
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 0:00,18
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 0:00,13
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 13:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 13:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 14:00,30
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 14:00,0
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 16:00,22
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 16:00,8
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 17:00,25
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 17:00,5
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 18:00,30
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 18:00,0
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 19:00,26
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 19:00,3
