id,stationName,totalDocks
3416,7 Ave & Park Pl,25
3417,Baltic St & 5 Ave,27
3418,Plaza St West & Flatbush Ave,33
3419,Douglass St & 4 Ave,27
3420,Douglass St & 3 Ave,21
3422,Columbia St & Degraw St,21
3423,West Drive & Prospect Park West,29
3424,E 106 St & Lexington Ave,27
3425,2 Ave & E 104 St,33
3427,Lafayette St & Jersey St,40
3429,Hanson Pl & Ashland Pl,39
3430,Richardson St & N Henry St,25
3434,W 88 St & West End Ave,35
3435,Grand St & Elizabeth St,45
3437,Riverside Dr & W 91 St,39
3440,Fulton St & Adams St,43
3449,Eckford St & Engert Ave,18
3452,Bayard St & Leonard St,43
3453,Devoe St & Lorimer St,19
3454,Leonard St & Maujer St,24
3456,Jackson St & Leonard St,22
3457,E 58 St & Madison Ave,46
3458,W 55 St & 6 Ave,40
3459,E 53 St & 3 Ave,34
3461,Murray St & Greenwich St,33
3463,E 16 St & Irving Pl,37
3466,W 45 St & 6 Ave,34
3467,W Broadway & Spring Street,42
3469,India St & West St,23
3472,W 15 St & 10 Ave,39
3477,39 St & 2 Ave - Citi Bike HQ at Industry City,33
3478,2 Ave & 36 St - Citi Bike HQ at Industry City,43
3481,York St,22
3483,Montgomery St,14
3486,Schermerhorn St & Bond St,30
3490,E 116 St & 2 Ave,31
3491,E 118 St & 1 Ave,24
3492,E 118 St & Park Ave,27
3493,E 118 St & 3 Ave,31
3494,E 115 St & Lexington Ave,25
3495,E 114 St & 1 Ave,26
3496,1 Ave & E 110 St,25
3497,Pleasant Ave & E 116 St,23
3498,Pleasant Ave & E 120 St,21
3499,2 Ave & E 122 St,25
3500,E 115 St & Madison Ave,31
3501,E 118 St & Madison Ave,29
3502,Lexington Ave & E 111 St,29
3503,Madison Ave & E 120 St,30
3504,E 123 St & Lexington Ave,27
3505,Lexington Ave & E 127 St,33
3506,Lexington Ave & E 120 St,29
3507,Park Ave & E 124 St,36
3508,St Nicholas Ave & Manhattan Ave,31
3509,Lenox Ave & W 115 St,31
3510,Adam Clayton Powell Blvd & W 123 St,31
3511,Adam Clayton Powell Blvd & W 115 St,22
3512,27 Ave & 4 St,19
3513,21 St & Hoyt Ave S,21
3514,Astoria Park S & Shore Blvd,23
3515,24 Ave & 26 St,19
3516,31 St & Astoria Blvd,31
3517,31 St & Hoyt Ave N,35
3518,Lenox Ave & W 126 St,34
3520,Adam Clayton Powell Blvd & W 118 St,27
3521,Lenox Ave & W 111 St,36
3522,37 St & 24 Ave,19
3523,24 Ave & 29 St,25
3524,19 St & 24 Ave,23
3525,23 Ave & 27 St,21
3526,31 St & 23 Ave,27
3527,5 Ave & E 126 St,27
3528,Steinway St & 23 Ave,21
3529,Lenox Ave & W 130 St,25
3530,Crescent St & Ditmars Blvd,19
3531,Frederick Douglass Blvd & W 129 St,27
3532,Ditmars Blvd & 19 St,27
3533,St. Nicholas Ave & W 126 St,34
3534,Frederick Douglass Blvd & W 117 St,39
3535,Mt Morris Park W & W 120 St,27
3536,W 116 St & Broadway,43
3537,Carlton Ave & Dean St,29
3538,W 110 St & Amsterdam Ave,45
3539,W 116 St & Amsterdam Ave,43
3540,Morningside Ave & W 123 St,35
3541,Amsterdam Ave & W 125 St,39
3542,Amsterdam Ave & W 119 St,29
3543,Morningside Dr & Amsterdam Ave,35
3544,Underhill Ave & Pacific St,27
3545,Broadway & W 122 St,33
3546,Pacific St & Classon Ave,21
3547,Broadway & Moylan Pl,41
3549,Grand Ave & Bergen St,25
3551,3 Ave & E 112 St,23
3552,W 113 St & Broadway,39
3553,Frederick Douglass Blvd & W 112 St,37
3554,Vernon Blvd & 41 Rd,27
3555,28 St & 41 Ave,27
3556,24 St & 41 Ave,19
3557,40 Ave & 9 St,19
3558,Bergen St & Vanderbilt Ave,27
3559,21 St & 38 Ave,19
3560,28 St & 38 Ave,19
3561,37 Ave & 35 St,26
3562,Classon Ave & St Marks Ave,27
3563,28 St & 36 Ave,29
3564,21 St & 36 Ave,19
3565,36 Ave & 10 St,19
3566,Crescent St & 35 Ave,25
3567,11 St & 35 Ave,19
3568,34 St & 35 Ave,21
3569,Franklin Ave & St Marks Ave,29
3570,35 Ave & 37 St,31
3571,Bedford Ave & Bergen St,24
3572,34 Ave & 38 St,33
3573,35 St & 34 Ave,25
3574,Prospect Pl & Underhill Ave,23
3575,Crescent St & 34 Ave,19
3576,Park Pl & Vanderbilt Ave,27
3577,34 Ave & 21 St,23
3578,Park Pl & Franklin Ave,21
3579,Sterling Pl & Bedford Ave,25
3580,St Johns Pl & Washington Ave,30
3581,Underhill Ave & Lincoln Pl,27
3582,Lincoln Pl & Classon Ave,28
3583,Eastern Pkwy & Washington Ave,31
3584,Eastern Pkwy & Franklin Ave,42
3585,Union St & Bedford Ave,24
3586,34 Ave & 13 St,19
3587,Carroll St & Washington Ave,27
3588,Vernon Blvd & 10 St,21
3589,Broadway & 12 St,19
3590,Carroll St & Franklin Ave,19
3591,21 St & 31 Dr,21
3592,Crescent St & Broadway,19
3593,31 St & Broadway,35
3595,35 St & Broadway,18
3596,Sullivan Pl & Bedford Ave,19
3597,43 St & Broadway,25
3598,Newton Rd & 44 St,19
3599,Franklin Ave & Empire Blvd,27
3601,Sterling St & Bedford Ave,19
3602,31 Ave & 34 St,23
3603,31 Ave & 30 St,21
3604,Rogers Ave & Sterling St,17
3605,31 Ave & Crescent St,21
3606,49 Ave & 21 St,21
3664,North Moore St & Greenwich St,30
3607,31 Ave & 14 St,19
3608,5 St & 51 Ave,21
3609,Vernon Blvd & 31 Ave,23
3610,Vernon Blvd & 30 Rd,27
3611,Vernon Blvd & 47 Rd,31
3612,30 Ave & 21 St,15
3613,Center Blvd & 48 Ave,27
3614,Crescent St & 30 Ave,23
3615,44 Dr & 21 St,21
3616,Steinway St & 28 Ave,25
3617,28 Ave & 35 St,27
3618,27 St & Hunter St,25
3619,Newtown Ave & 23 St,19
3620,11 St & 43 Ave,23
3621,27 Ave & 9 St,19
3622,E 128 St & Madison Ave,15
3623,W 120 St & Claremont Ave,39
3628,Lenox Ave & W 117 St,31
3629,Adam Clayton Powell Blvd & W 126 St,33
3630,Frederick Douglass Blvd & W 115 St,33
3631,Crown St & Bedford Ave,27
3637,Fulton St & Waverly Ave,31
3638,Washington St,18
3639,Harborside,30
3640,Journal Square,18
3641,Broadway & W 25 St,54
3646,35 Ave & 10 St,26
3647,48 Ave & 30 Pl,23
3648,Flushing Ave & Vanderbilt Ave,25
3649,W 129 St & Convent Ave,30
3654,31 St & Northern Blvd,35
3656,E 2 St & Avenue A,46
3658,W 18 St & 9 Ave,27
3659,W 17 St & 9 Ave,0
3660,W 16 St & 8 Ave,39
3661,Montgomery St & Franklin Ave,19
3662,31 Ave & Steinway St,21
3668,Leonard St & Nassau Ave,26
3671,E 81 St & 2 Ave,37
3673,Dean St & Franklin Ave,21
3674,Jay St & York St,27
3675,3 Ave & E 95 St,31
3676,Van Brunt St & Van Dyke St,24
3677,Glenwood Ave,18
3678,Fairmount Ave,18
3679,Bergen Ave,14
3680,E 43 St & 5 Ave,55
3681,Grand St,18
3684,W 12 St & W 4 St,43
3686,Gansevoort St & Hudson St,39
3687,E 33 St & 1 Ave,59
3689,W 104 St & Amsterdam Ave,47
3690,Park Pl & Church St,36
3691,28 Ave & 44 St,19
3692,5 St & Market St,15
3693,N 11 St & Kent Ave,27
3694,Jackson Square,18
3697,W 64 St & Thelonious Monk Circle,43
3699,W 50 St & 9 Ave,30
3701,Cliff St & Fulton St,37
3704,47 Ave & Skillman Ave,19
3707,Lexington Ave & E 26 St,55
3708,W 13 St & 5 Ave,29
3709,W 15 St & 6 Ave,51
3711,E 13 St & Avenue A,47
3712,W 35 St & Dyer Ave,41
3714,Division Av & Hooper St,61
3715,Driggs Ave & N 9 St,31
3716,40 Ave & Crescent St,23
3718,E 11 St & Avenue B,46
3720,Wyckoff St & Bond St,23
3721,31 St & Newtown Ave,35
3723,Cadman Plaza E & Johnson St,30
3724,7 Ave & Central Park South,39
3725,2 Ave & E 72 St,41
3726,Center Blvd & 51 Ave,20
